Nome,Email,Telefone,Pontuação
Ana Silva,ana.silva@email.com,55995782568,66
João Souza,joão.souza@email.com,55992494664,78
Maria Lima,maria.lima@email.com,55991932555,60
Carlos Mendes,carlos.mendes@email.com,55996032740,96
Fernanda Rocha,fernanda.rocha@email.com,55996093359,66
Lucas Oliveira,lucas.oliveira@email.com,55990128269,85
Patrícia Costa,patrícia.costa@email.com,55994777937,85
Ricardo Pereira,ricardo.pereira@email.com,55995248868,80
Juliana Martins,juliana.martins@email.com,55996451857,53
André Gomes,andré.gomes@email.com,55996270802,91
Camila Carvalho,camila.carvalho@email.com,55992280888,84
Marcelo Dias,marcelo.dias@email.com,55994886742,55
Vanessa Monteiro,vanessa.monteiro@email.com,55994268379,73
Paulo Henrique,paulo.henrique@email.com,55999984403,59
Tatiane Alves,tatiane.alves@email.com,55993453621,58
Gabriel Fernandes,gabriel.fernandes@email.com,55996090610,83
Larissa Duarte,larissa.duarte@email.com,55996783262,67
Roberto Lima,roberto.lima@email.com,55994352224,79
Isabela Nunes,isabela.nunes@email.com,55996738955,71
Felipe Castro,felipe.castro@email.com,55991162457,64
Amanda Ribeiro,amanda.ribeiro@email.com,55994759336,99
Bruno Azevedo,bruno.azevedo@email.com,55990685453,58
Natália Freitas,natália.freitas@email.com,55990530509,94
Thiago Almeida,thiago.almeida@email.com,55999562741,90
Carolina Pinto,carolina.pinto@email.com,55999871675,72
Diego Ramos,diego.ramos@email.com,55993100456,56
Sabrina Torres,sabrina.torres@email.com,55990608107,90
Eduardo Moraes,eduardo.moraes@email.com,55996375058,67
Michele Teixeira,michele.teixeira@email.com,55996953681,56
Fábio Araújo,fábio.araújo@email.com,55991406997,90
Renata Soares,renata.soares@email.com,55991510162,55
Leandro Correia,leandro.correia@email.com,55995481437,68
Tatiane Lopes,tatiane.lopes@email.com,55994715972,82
Daniel Moreira,daniel.moreira@email.com,55998012915,62
Priscila Sales,priscila.sales@email.com,55995718669,76
Gustavo Rezende,gustavo.rezende@email.com,55995213562,96
Aline Viana,aline.viana@email.com,55995781901,56
Henrique Batista,henrique.batista@email.com,55999989106,77
Bianca Maciel,bianca.maciel@email.com,55993226959,59
Vinícius Rocha,vinícius.rocha@email.com,55993483227,62
